        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2016/12/14 17:13:41    5139       0          18           137            97          52
2016/12/14 17:13:42    4611       290          22           8            33          5
2016/12/14 17:13:53    5139       0          18           137            97          52
2016/12/14 17:13:54    4611       290          22           8            33          5
2016/12/14 17:14:06    5139       0          18           137            97          52
2016/12/14 17:14:07    4611       290          22           8            33          5
2016/12/14 17:14:19    5139       0          18           137            97          52
2016/12/14 17:14:20    4611       290          22           8            33          5
2016/12/14 17:14:31    5139       0          18           137            97          52
2016/12/14 17:14:32    4611       290          22           8            33          5
2016/12/14 17:14:44    5139       0          18           137            97          52
2016/12/14 17:14:45    4611       290          22           8            33          5
2016/12/14 17:14:56    5139       0          18           137            97          52
2016/12/14 17:14:57    4611       290          22           8            33          5
2016/12/14 17:15:09    5139       0          18           137            97          52
2016/12/14 17:15:10    4611       290          22           8            33          5
2016/12/14 17:15:22    5139       0          18           137            97          52
2016/12/14 17:15:23    4611       290          22           8            33          5
2016/12/14 17:15:34    5139       0          18           137            97          52
2016/12/14 17:15:35    4611       290          22           8            33          5
2016/12/14 17:15:47    5139       0          18           137            97          52
2016/12/14 17:15:48    4611       290          22           8            33          5
2016/12/14 17:15:59    5139       0          18           137            97          52
2016/12/14 17:16:00    4611       290          22           8            33          5
2016/12/14 17:16:12    5139       0          18           137            97          52
2016/12/14 17:16:13    4611       290          22           8            33          5
2016/12/14 17:16:25    5139       0          18           137            97          52
2016/12/14 17:16:26    4611       290          22           8            33          5
2016/12/14 17:16:37    5139       0          18           137            97          52
2016/12/14 17:16:38    4611       290          22           8            33          5
2016/12/14 17:16:50    5139       0          18           137            97          52
2016/12/14 17:16:51    4611       290          22           8            33          5
2016/12/14 17:21:26    5139       0          18           137            97          52
2016/12/14 17:21:27    4611       290          22           8            33          5
2016/12/14 17:21:39    5139       0          18           137            97          52
2016/12/14 17:21:40    4611       290          22           8            33          5
2016/12/14 17:21:51    5139       0          18           137            97          52
2016/12/14 17:21:52    4611       290          22           8            33          5
2016/12/14 17:22:04    5139       0          18           137            97          52
2016/12/14 17:22:05    4611       290          22           8            33          5
2016/12/14 17:22:17    5139       0          18           137            97          52
2016/12/14 17:22:18    4611       290          22           8            33          5
2016/12/14 17:22:29    5139       0          18           137            97          52
2016/12/14 17:22:30    4611       290          22           8            33          5
2016/12/14 17:22:42    5139       0          18           137            97          52
2016/12/14 17:22:43    4611       290          22           8            33          5
