        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2017/01/06 17:20:56    4601       58108          18           28            21          19
2017/01/06 17:20:56    4601       524          18           28            21          19
2017/01/06 17:20:56    249       524          18           28            21          19
2017/01/06 17:20:56    4601       12          242           35            165          52
2017/01/06 17:20:56    4601       12          242           35            165          52
2017/01/06 17:20:56    4601       12          242           35            21          19
2017/01/06 17:20:56    4601       12          242           28            21          19
2017/01/06 17:20:56    4601       12          18           28            21          19
2017/01/06 17:20:56    4601       58108          18           28            21          19
2017/01/06 17:20:57    4601       524          18           28            21          19
2017/01/06 17:20:57    249       524          18           28            21          19
2017/01/06 17:20:57    4601       12          242           35            165          52
2017/01/06 17:20:57    4601       12          242           35            165          52
2017/01/06 17:20:57    4601       12          242           35            21          19
2017/01/06 17:20:57    4601       12          242           28            21          19
2017/01/06 17:20:57    4601       12          18           28            21          19
2017/01/06 17:20:57    4601       58108          18           28            21          19
2017/01/06 17:20:58    4601       524          18           28            21          19
2017/01/06 17:20:58    249       524          18           28            21          19
2017/01/06 17:20:58    4601       12          242           35            165          52
2017/01/06 17:20:58    4601       12          242           35            165          52
2017/01/06 17:20:58    4601       12          242           35            21          19
2017/01/06 17:20:58    4601       12          242           28            21          19
2017/01/06 17:20:58    4601       12          18           28            21          19
2017/01/06 17:20:58    4601       58108          18           28            21          19
2017/01/06 17:20:58    4601       524          18           28            21          19
2017/01/06 17:20:59    249       524          18           28            21          19
2017/01/06 17:20:59    4601       12          242           35            165          52
2017/01/06 17:20:59    4601       12          242           35            165          52
2017/01/06 17:20:59    4601       12          242           35            21          19
2017/01/06 17:20:59    4601       12          242           28            21          19
2017/01/06 17:20:59    4601       12          18           28            21          19
2017/01/06 17:20:59    4601       58108          18           28            21          19
2017/01/06 17:20:59    4601       524          18           28            21          19
2017/01/06 17:21:00    249       524          18           28            21          19
2017/01/06 17:21:00    4601       12          242           35            165          52
2017/01/06 17:21:00    4601       12          242           35            165          52
2017/01/06 17:21:00    4601       12          242           35            21          19
2017/01/06 17:21:00    4601       12          242           28            21          19
2017/01/06 17:21:00    4601       12          18           28            21          19
2017/01/06 17:21:00    4601       58108          18           28            21          19
2017/01/06 17:21:00    4601       524          18           28            21          19
2017/01/06 17:21:01    249       524          18           28            21          19
2017/01/06 17:21:01    4601       12          242           35            165          52
2017/01/06 17:21:01    4601       12          242           35            165          52
2017/01/06 17:21:01    4601       12          242           35            21          19
2017/01/06 17:21:01    4601       12          242           28            21          19
2017/01/06 17:21:01    4601       12          18           28            21          19
2017/01/06 17:21:01    4601       58108          18           28            21          19
2017/01/06 17:21:01    4601       524          18           28            21          19
2017/01/06 17:21:01    249       524          18           28            21          19
2017/01/06 17:21:02    4601       12          242           35            165          52
2017/01/06 17:21:02    4601       12          242           35            165          52
2017/01/06 17:21:02    4601       12          242           35            21          19
2017/01/06 17:21:02    4601       12          242           28            21          19
2017/01/06 17:21:02    4601       12          18           28            21          19
2017/01/06 17:21:02    4601       58108          18           28            21          19
2017/01/06 17:21:02    4601       524          18           28            21          19
2017/01/06 17:21:02    249       524          18           28            21          19
2017/01/06 17:21:03    4601       12          242           35            165          52
2017/01/06 17:21:03    4601       12          242           35            165          52
2017/01/06 17:21:03    4601       12          242           35            21          19
2017/01/06 17:21:03    4601       12          242           28            21          19
2017/01/06 17:21:03    4601       12          18           28            21          19
2017/01/06 17:21:03    4601       58108          18           28            21          19
2017/01/06 17:21:03    4601       524          18           28            21          19
2017/01/06 17:21:03    249       524          18           28            21          19
2017/01/06 17:21:04    4601       12          242           35            165          52
2017/01/06 17:21:04    4601       12          242           35            165          52
2017/01/06 17:21:04    4601       12          242           35            21          19
2017/01/06 17:21:04    4601       12          242           28            21          19
2017/01/06 17:21:04    4601       12          18           28            21          19
2017/01/06 17:21:04    4601       58108          18           28            21          19
2017/01/06 17:21:04    4601       524          18           28            21          19
2017/01/06 17:21:04    249       524          18           28            21          19
2017/01/06 17:21:04    4601       12          242           35            165          52
2017/01/06 17:21:05    4601       12          242           35            165          52
2017/01/06 17:21:05    4601       12          242           35            21          19
2017/01/06 17:21:05    4601       12          242           28            21          19
2017/01/06 17:21:05    4601       12          18           28            21          19
2017/01/06 17:21:05    4601       58108          18           28            21          19
2017/01/06 17:21:05    4601       524          18           28            21          19
2017/01/06 17:21:05    249       524          18           28            21          19
2017/01/06 17:21:05    4601       12          242           35            165          52
2017/01/06 17:21:06    4601       12          242           35            165          52
2017/01/06 17:21:06    4601       12          242           35            21          19
2017/01/06 17:21:06    4601       12          242           28            21          19
2017/01/06 17:21:06    4601       12          18           28            21          19
2017/01/06 17:21:06    4601       58108          18           28            21          19
2017/01/06 17:21:06    4601       524          18           28            21          19
2017/01/06 17:21:06    249       524          18           28            21          19
2017/01/06 17:21:06    4601       12          242           35            165          52
2017/01/06 17:21:07    4601       12          242           35            165          52
2017/01/06 17:21:07    4601       12          242           35            21          19
2017/01/06 17:21:07    4601       12          242           28            21          19
2017/01/06 17:21:07    4601       12          18           28            21          19
2017/01/06 17:21:07    4601       58108          18           28            21          19
2017/01/06 17:21:07    4601       524          18           28            21          19
2017/01/06 17:21:07    249       524          18           28            21          19
2017/01/06 17:21:07    4601       12          242           35            165          52
2017/01/06 17:21:08    4601       12          242           35            165          52
2017/01/06 17:21:08    4601       12          242           35            21          19
2017/01/06 17:21:08    4601       12          242           28            21          19
2017/01/06 17:21:08    4601       12          18           28            21          19
2017/01/06 17:21:08    4601       58108          18           28            21          19
