        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2016/11/30 10:50:51    306       0          3           4            0          0
2016/11/30 10:50:53    306       0          3           4            0          0
2016/11/30 10:50:55    306       0          3           4            0          0
2016/11/30 10:50:57    306       0          3           4            0          0
2016/11/30 10:50:59    306       0          3           4            0          0
2016/11/30 10:51:01    306       0          3           4            0          0
2016/11/30 10:51:04    306       0          3           4            0          0
2016/11/30 10:51:05    306       0          3           4            0          0
2016/11/30 10:51:07    306       0          3           4            0          0
2016/11/30 10:51:09    306       0          3           4            0          0
2016/11/30 10:51:11    306       0          3           4            0          0
2016/11/30 10:51:13    306       0          3           4            0          0
2016/11/30 10:51:15    306       0          3           4            0          0
2016/11/30 10:51:17    306       0          3           4            0          0
2016/11/30 10:51:19    306       0          3           4            0          0
2016/11/30 10:51:21    306       0          3           4            0          0
2016/11/30 10:51:23    306       0          3           4            0          0
2016/11/30 10:51:25    306       0          3           4            0          0
2016/11/30 10:51:27    306       0          3           4            0          0
2016/11/30 10:51:29    306       0          3           4            0          0
2016/11/30 10:51:31    306       0          3           4            0          0
2016/11/30 10:51:33    306       0          3           4            0          0
2016/11/30 10:51:35    306       0          3           4            0          0
2016/11/30 10:51:38    306       0          3           4            0          0
2016/11/30 10:51:39    306       0          3           4            0          0
2016/11/30 10:51:41    306       0          3           4            0          0
2016/11/30 10:51:44    306       0          3           4            0          0
2016/11/30 10:51:46    306       0          3           4            0          0
2016/11/30 10:51:48    306       0          3           4            0          0
2016/11/30 10:51:50    306       0          3           4            0          0
2016/11/30 10:51:52    306       0          3           4            0          0
2016/11/30 10:51:54    306       0          3           4            0          0
2016/11/30 10:51:56    306       0          3           4            0          0
2016/11/30 10:51:58    306       0          3           4            0          0
2016/11/30 10:52:00    306       0          3           4            0          0
2016/11/30 10:52:02    306       0          3           4            0          0
2016/11/30 10:52:04    306       0          3           4            0          0
2016/11/30 10:52:06    306       0          3           4            0          0
2016/11/30 10:52:08    306       0          3           4            0          0
2016/11/30 10:52:10    306       0          3           4            0          0
2016/11/30 10:52:12    306       0          3           4            0          0
2016/11/30 10:52:14    306       0          3           4            0          0
2016/11/30 10:52:16    306       0          3           4            0          0
