        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2016/12/15 14:54:00    5139       0          18           137            97          52
2016/12/15 14:54:00    4611       290          22           8            33          5
2016/12/15 14:54:06    5139       0          18           137            97          52
2016/12/15 14:54:07    4611       290          22           8            33          5
2016/12/15 14:54:13    5139       0          18           137            97          52
2016/12/15 14:54:14    4611       290          22           8            33          5
2016/12/15 14:54:20    5139       0          18           137            97          52
2016/12/15 14:54:20    4611       290          22           8            33          5
2016/12/15 14:54:27    5139       0          18           137            97          52
2016/12/15 14:54:27    4611       290          22           8            33          5
2016/12/15 14:54:33    5139       0          18           137            97          52
2016/12/15 14:54:34    4611       290          22           8            33          5
2016/12/15 14:54:40    5139       0          18           137            97          52
2016/12/15 14:54:40    4611       290          22           8            33          5
2016/12/15 14:54:47    5139       0          18           137            97          52
2016/12/15 14:54:47    4611       290          22           8            33          5
2016/12/15 14:54:53    5139       0          18           137            97          52
2016/12/15 14:54:54    4611       290          22           8            33          5
2016/12/15 14:55:00    5139       0          18           137            97          52
2016/12/15 14:55:01    4611       290          22           8            33          5
2016/12/15 14:55:07    5139       0          18           137            97          52
2016/12/15 14:55:07    4611       290          22           8            33          5
